"Code","Fecha (Dia 7 de cada pais)","Pais","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)"
"CYP",2020-03-15,"Cyprus","Más del 50% del sueldo",128.708333333333,NA
"DEU",2020-02-02,"Germany","Sin apoyo",237.30759674834,4
"DJI",2020-03-24,"Djibouti","Sin apoyo",41.3684210526316,NA
"DMA",2020-03-28,"Dominica","Sin apoyo",95.5,23
"DNK",2020-03-04,"Denmark","Sin apoyo",137.976565849012,6
"DOM",2020-03-07,"Dominican Republic","Sin apoyo",219.97857586421,5
"DZA",2020-03-02,"Algeria","Sin apoyo",17.7300750711665,12
"ECU",2020-03-07,"Ecuador","Sin apoyo",68.7886817522951,5
"EGY",2020-02-20,"Egypt","Sin apoyo",98.8734692852479,12
"ERI",2020-03-27,"Eritrea","Sin apoyo",NA,6
"ESP",2020-02-07,"Spain","Sin apoyo",93.6771974435832,17
"EST",2020-03-04,"Estonia","Más del 50% del sueldo",30.4112491373361,6
"ETH",2020-03-19,"Ethiopia","Sin apoyo",109.224559,18
"FIN",2020-02-04,"Finland","Sin apoyo",18.1485472672831,9
"GBR",2020-02-06,"United Kingdom","Sin apoyo",274.708981936924,4
"GBR",2020-02-06,"United Kingdom","Sin apoyo",274.708981936924,4
"GBR",2020-02-06,"United Kingdom","Sin apoyo",274.708981936924,4
"GBR",2020-02-06,"United Kingdom","Sin apoyo",274.708981936924,4
"GBR",2020-02-06,"United Kingdom","Sin apoyo",274.708981936924,4
"GEO",2020-03-03,"Georgia","Sin apoyo",65.197330207495,12
"GHA",2020-03-20,"Ghana","Sin apoyo",130.821429199262,12
"GIN",2020-03-19,"Guinea","Sin apoyo",50.5222122741332,3
"GMB",2020-03-23,"Gambia","Sin apoyo",225.30652173913,NA
"GRC",2020-03-03,"Greece","Sin apoyo",83.2651823118697,22
"GTM",2020-03-20,"Guatemala","Sin apoyo",152.547125793206,2
"GUY",2020-03-18,"Guyana","Sin apoyo",3.95734823469647,11
"HND",2020-03-17,"Honduras","Sin apoyo",85.6870319063366,6
"HRV",2020-03-02,"Croatia","Sin apoyo",73.0493745532523,12
"HTI",2020-03-26,"Haiti","Sin apoyo",403.59854862119,41
"HUN",2020-03-10,"Hungary","Sin apoyo",107.981486799956,4
"IDN",2020-03-08,"Indonesia","Sin apoyo",147.75219008926,5
"IND",2020-02-05,"India","Sin apoyo",454.938072575247,9
"IRL",2020-03-06,"Ireland","Sin apoyo",70.6534475250399,7
"IRN",2020-02-25,"Iran","Sin apoyo",50.222420123284,12
"IRQ",2020-03-01,"Iraq","Sin apoyo",88.5305700354617,16
"ISL",2020-03-05,"Iceland","Sin apoyo",3.51841396508728,3
"ISR",2020-02-27,"Israel","Sin apoyo",410.480591497227,4
"ITA",2020-02-06,"Italy","Sin apoyo",205.418372203713,11
"JAM",2020-03-17,"Jamaica","Sin apoyo",270.993074792244,12
"JOR",2020-03-09,"Jordan","Sin apoyo",112.14249831043,18
"JPN",2020-01-28,"Japan","Sin apoyo",347.073458415624,3
"KAZ",2020-03-19,"Kazakhstan","Menos del 50% del sueldo",6.76982572137645,5
"KEN",2020-03-19,"Kenya","Sin apoyo",90.2994166637383,40
"KHM",2020-02-02,"Cambodia","Sin apoyo",92.0564128710628,0
"KWT",2020-03-01,"Kuwait","Sin apoyo",232.172390572391,1
"LAO",2020-03-30,"Laos","Sin apoyo",30.5957842287695,1
"LBN",2020-02-27,"Lebanon","Sin apoyo",669.494134897361,10
"LBR",2020-03-22,"Liberia","Sin apoyo",50.0309073920266,3
"LBY",2020-03-30,"Libya","Sin apoyo",3.79563238119054,30
"LKA",2020-02-02,"Sri Lanka","Sin apoyo",345.558922022006,4
"LSO",2020-05-19,"Lesotho","Sin apoyo",69.437812911726,28
"LTU",2020-03-05,"Lithuania","Sin apoyo",44.7230757742448,7
"LUX",2020-03-06,"Luxembourg","Sin apoyo",250.185185185185,6
"LVA",2020-03-08,"Latvia","Sin apoyo",30.9934705693149,9
"MAR",2020-03-08,"Morocco","Sin apoyo",80.7285189334528,10
"MDA",2020-03-14,"Moldova","Sin apoyo",94.2644302783293,4
"MDG",2020-03-26,"Madagascar","Sin apoyo",45.1398556204881,2
"MEX",2020-03-05,"Mexico","Sin apoyo",64.9146264050001,3
"MLI",2020-03-31,"Mali","Sin apoyo",15.635015858186,8
"MNG",2020-03-16,"Mongolia","Sin apoyo",2.04060866654651,8
"MOZ",2020-03-28,"Mozambique","Sin apoyo",37.508535313716,25
"MRT",2020-03-20,"Mauritania","Sin apoyo",4.27216357815077,10
"MUS",2020-03-24,"Mauritius","Menos del 50% del sueldo",623.30197044335,7
"MWI",2020-04-08,"Malawi","Sin apoyo",192.440761561307,20
"MYS",2020-01-31,"Malaysia","Sin apoyo",95.9628214883579,3
"NAM",2020-03-20,"Namibia","Sin apoyo",2.97374558175127,34
"NER",2020-03-26,"Niger","Sin apoyo",17.7176505881424,0
"NGA",2020-03-05,"Nigeria","Sin apoyo",215.064988965381,17
"NIC",2020-03-25,"Nicaragua","Sin apoyo",53.7270483629716,6
"NLD",2020-03-04,"Netherlands","Sin apoyo",511.475927574948,5
"NOR",2020-03-03,"Norway","Sin apoyo",14.5482916341657,4
"NPL",2020-01-31,"Nepal","Sin apoyo",195.939107080572,3
"NZL",2020-03-05,"New Zealand","Sin apoyo",18.3851733697923,5
"OMN",2020-03-01,"Oman","Sin apoyo",15.6041453957997,NA
"PAK",2020-03-02,"Pakistan","Sin apoyo",275.289318700706,6
"PAN",2020-03-16,"Panama","Sin apoyo",56.1860774818402,6
"PER",2020-03-12,"Peru","Sin apoyo",24.99160625,7
"PHL",2020-02-05,"Philippines","Sin apoyo",357.688305329175,6
"PNG",2020-03-26,"Papua New Guinea","Sin apoyo",19.0043633794109,NA
"POL",2020-03-10,"Poland","Sin apoyo",124.023482151605,5
"PRT",2020-03-08,"Portugal","Sin apoyo",112.2619412173,9
"PRY",2020-03-14,"Paraguay","Sin apoyo",17.5083589227284,6
"QAT",2020-03-06,"Qatar","Sin apoyo",239.593195521103,9
"ROU",2020-03-03,"Romania","Sin apoyo",84.633801286509,5
"RUS",2020-02-06,"Russia","Sin apoyo",8.82206795315588,5
"RWA",2020-03-20,"Rwanda","Sin apoyo",498.659870287799,3
"SAU",2020-03-08,"Saudi Arabia","Sin apoyo",15.6766543082956,6
"SDN",2020-03-19,"Sudan","Sin apoyo",NA,20
"SEN",2020-03-08,"Senegal","Sin apoyo",82.3474783150678,48
"SGP",2020-01-29,"Singapore","Sin apoyo",7952.9984184018,2
"SLE",2020-04-06,"Sierra Leone","Sin apoyo",105.987170961485,15
"SLV",2020-03-25,"El Salvador","Sin apoyo",309.881467181467,7
"SMR",2020-03-04,"San Marino","Menos del 50% del sueldo",563.083333333333,8
"SOM",2020-03-22,"Somalia","Sin apoyo",23.9234769024771,NA
"SRB",2020-03-12,"Serbia","Sin apoyo",79.8376857992225,14
"SSD",2020-04-11,"South Sudan","Sin apoyo",NA,NA
"SUR",2020-03-20,"Suriname","Sin apoyo",3.69225,9
"SVN",2020-03-11,"Slovenia","Sin apoyo",102.96366052404,7
"SWE",2020-02-07,"Sweden","Sin apoyo",24.9814981218237,7
"SWZ",2020-03-20,"Eswatini","Sin apoyo",66.0576162790698,NA
"SYC",2020-03-20,"Seychelles","Sin apoyo",210.352173913043,3
"SYR",2020-03-28,"Syria","Sin apoyo",92.0671077710614,50
"TCD",2020-03-25,"Chad","Sin apoyo",12.2917336404066,NA
"TGO",2020-03-12,"Togo","Sin apoyo",145.046773303916,7
"THA",2020-01-28,"Thailand","Sin apoyo",135.897206835131,1
"UZB",2020-03-21,"Uzbekistan","Sin apoyo",77.4708509637988,5
"VEN",2020-03-20,"Venezuela","Sin apoyo",32.7307919052208,27
"VNM",2020-01-29,"Vietnam","Sin apoyo",308.125245912213,2
"YEM",2020-04-16,"Yemen","Sin apoyo",53.9778529083092,27
"ZAF",2020-03-11,"South Africa","Sin apoyo",47.6301197767684,28
"ZMB",2020-03-24,"Zambia","Sin apoyo",23.3414789007116,15
"ZWE",2020-03-26,"Zimbabwe","Sin apoyo",37.3245909267158,11
