"fecha","pais","code","apoyo"
2020-03-28,"Mozambique","MOZ",0
2020-03-20,"Mauritania","MRT",0
2020-03-24,"Mauritius","MUS",1
2020-04-16,"Malawi","MWI",0
2020-01-31,"Malaysia","MYS",0
2020-03-20,"Namibia","NAM",0
2020-03-26,"Niger","NER",0
2020-03-13,"Nigeria","NGA",0
2020-03-25,"Nicaragua","NIC",0
2020-03-12,"Netherlands","NLD",0
2020-03-11,"Norway","NOR",0
2020-01-31,"Nepal","NPL",0
2020-03-13,"New Zealand","NZL",0
2020-03-01,"Oman","OMN",0
2020-03-10,"Pakistan","PAK",0
2020-03-16,"Panama","PAN",0
2020-03-16,"Peru","PER",1
2020-02-13,"Philippines","PHL",0
2020-03-26,"Papua New Guinea","PNG",0
2020-03-16,"Poland","POL",0
2020-03-16,"Portugal","PRT",1
2020-03-16,"Paraguay","PRY",0
2020-03-14,"Qatar","QAT",0
2020-03-20,"Kosovo","RKS",0
2020-03-11,"Romania","ROU",0
2020-02-14,"Russia","RUS",0
2020-03-20,"Rwanda","RWA",0
2020-03-16,"Saudi Arabia","SAU",0
2020-03-19,"Sudan","SDN",0
2020-03-16,"Senegal","SEN",0
2020-01-29,"Singapore","SGP",0
2020-04-14,"Sierra Leone","SLE",0
2020-03-25,"El Salvador","SLV",0
2020-03-12,"San Marino","SMR",1
2020-03-22,"Somalia","SOM",0
2020-03-16,"Serbia","SRB",0
2020-04-16,"South Sudan","SSD",0
2020-03-20,"Suriname","SUR",0
2020-03-16,"Slovenia","SVN",0
2020-02-15,"Sweden","SWE",0
2020-03-20,"Eswatini","SWZ",0
2020-03-20,"Seychelles","SYC",0
2020-03-28,"Syria","SYR",0
2020-03-25,"Chad","TCD",0
2020-03-16,"Togo","TGO",0
2020-01-28,"Thailand","THA",0
2020-05-14,"Tajikistan","TJK",0
2020-03-28,"Timor-Leste","TLS",0
2020-03-20,"Trinidad and Tobago","TTO",0
2020-03-16,"Tunisia","TUN",0
2020-03-17,"Turkey","TUR",0
2020-03-22,"Tanzania","TZA",0
2020-03-27,"Uganda","UGA",0
2020-03-16,"Ukraine","UKR",1
2020-03-19,"Uruguay","URY",1
2020-03-21,"Uzbekistan","UZB",0
2020-03-20,"Venezuela","VEN",0
2020-01-29,"Vietnam","VNM",0
2020-04-16,"Yemen","YEM",0
2020-03-16,"South Africa","ZAF",0
2020-03-24,"Zambia","ZMB",0
2020-03-26,"Zimbabwe","ZWE",0
